Month,Year,Revenue,Recession,AR_Delay,Other_Expenses,COGS,OPEX_Variable,OPEX_Fixed,Total_Expenses,Cash_Collected,Net_Cash_Flow,Cash_Start,Cash_End,Shortage_Alert
1,1,55180.38490472692,0,0,1017,27590.19245236346,5518.0384904726925,15000,49125.23094283615,55180.38490472692,6055.0,200000.0,206055.0,0
2,1,50706.67586868141,0,2,1143,25353.337934340703,5070.667586868141,15000,46567.00552120885,0.0,-46567.0,206055.0,159488.0,0
3,1,40756.26803830287,0,3,788,20378.134019151435,4075.6268038302874,15000,40241.76082298173,0.0,-40242.0,159488.0,119246.0,0
4,1,44379.45573413848,0,2,1013,22189.72786706924,4437.945573413848,15000,42640.673440483086,50706.67586868141,8066.0,119246.0,127312.0,0
5,1,62223.32378036776,0,3,1865,31111.66189018388,6222.332378036776,15000,54198.99426822066,50706.67586868141,-3492.0,127312.0,123820.0,0
6,1,61339.81392031488,0,1,2107,30669.90696015744,6133.981392031488,15000,53910.88835218893,62223.32378036776,8312.0,123820.0,132132.0,0
7,1,48069.66219672238,0,1,2594,24034.83109836119,4806.9662196722375,15000,46435.79731803342,61339.81392031488,14904.0,132132.0,147036.0,0
8,1,48542.517717150586,0,3,502,24271.258858575293,4854.251771715059,15000,44627.51063029035,62223.32378036776,17596.0,147036.0,164632.0,0
9,1,44383.122825030594,0,2,453,22191.561412515297,4438.31228250306,15000,42082.87369501835,48069.66219672238,5987.0,164632.0,170619.0,0
10,1,49244.35901915037,0,1,1659,24622.179509575184,4924.435901915037,15000,46205.61541149022,44383.122825030594,-1822.0,170619.0,168797.0,0
11,1,60650.731093497445,0,2,2766,30325.365546748722,6065.073109349745,15000,54156.43865609847,44383.122825030594,-9773.0,168797.0,159024.0,0
12,1,53373.45149429276,0,0,2012,26686.72574714638,5337.345149429277,15000,49036.07089657566,53373.45149429276,4337.0,159024.0,163361.0,0
13,2,51500.81642926088,0,2,2337,25750.40821463044,5150.0816429260885,15000,48237.48985755653,60650.731093497445,12413.0,163361.0,175774.0,0
14,2,52856.01761864359,0,0,1963,26428.008809321796,5285.60176186436,15000,48676.61057118616,52856.01761864359,4179.0,175774.0,179953.0,0
15,2,49189.34900170773,0,2,1044,24594.674500853864,4918.934900170773,15000,45557.60940102464,51500.81642926088,5943.0,179953.0,185896.0,0
16,2,44957.35978724023,0,1,1746,22478.679893620116,4495.735978724023,15000,43720.415872344136,49189.34900170773,5469.0,185896.0,191365.0,0
17,2,55002.737203960125,0,1,158,27501.368601980063,5500.273720396013,15000,48159.64232237608,44957.35978724023,-3202.0,191365.0,188163.0,0
18,2,58690.80685634901,0,1,1795,29345.403428174504,5869.080685634901,15000,52009.484113809405,55002.737203960125,2993.0,188163.0,191156.0,0
19,2,52289.927572876186,0,1,430,26144.963786438093,5228.992757287619,15000,46803.95654372571,58690.80685634901,11887.0,191156.0,203043.0,0
20,2,42986.14945647537,0,2,1821,21493.074728237683,4298.614945647537,15000,42612.68967388522,58690.80685634901,16078.0,203043.0,219121.0,0
21,2,44075.10379463151,0,0,1583,22037.551897315756,4407.510379463151,15000,43028.0622767789,44075.10379463151,1047.0,219121.0,220168.0,0
22,2,52687.608479069,0,2,1008,26343.8042395345,5268.7608479069,15000,47620.5650874414,42986.14945647537,-4634.0,220168.0,215534.0,0
23,2,54581.814449116806,0,2,2045,27290.907224558403,5458.181444911681,15000,49794.08866947008,44075.10379463151,-5719.0,215534.0,209815.0,0
24,2,51016.56161318318,0,0,2587,25508.28080659159,5101.6561613183185,15000,48196.9369679099,51016.56161318318,2820.0,209815.0,212635.0,0
25,3,51556.64168751714,0,3,967,25778.32084375857,5155.664168751715,15000,46900.98501251028,52687.608479069,5787.0,212635.0,218422.0,0
26,3,54943.179011540975,0,1,238,27471.589505770487,5494.317901154098,15000,48203.90740692458,51556.64168751714,3353.0,218422.0,221775.0,0
27,3,45185.9885701647,0,1,606,22592.99428508235,4518.59885701647,15000,42717.59314209882,54943.179011540975,12226.0,221775.0,234001.0,0
28,3,48248.50058701647,0,2,1126,24124.250293508234,4824.850058701647,15000,45075.100352209876,54943.179011540975,9868.0,234001.0,243869.0,0
29,3,62817.82869923259,0,0,697,31408.914349616294,6281.78286992326,15000,53387.69721953955,62817.82869923259,9430.0,243869.0,253299.0,0
30,3,57982.56038064032,0,2,2589,28991.28019032016,5798.2560380640325,15000,52378.5362283842,48248.50058701647,-4130.0,253299.0,249169.0,0
31,3,54131.53557675769,0,2,2095,27065.767788378846,5413.15355767577,15000,49573.921346054616,62817.82869923259,13244.0,249169.0,262413.0,0
32,3,47771.281358891254,0,1,2876,23885.640679445627,4777.128135889126,15000,46538.768815334755,54131.53557675769,7593.0,262413.0,270006.0,0
33,3,41675.4815608972,0,0,1670,20837.7407804486,4167.54815608972,15000,41675.288936538316,41675.4815608972,0.0,270006.0,270006.0,0
34,3,51000.85559961827,0,0,1995,25500.427799809135,5100.085559961827,15000,47595.513359770965,51000.85559961827,3405.0,270006.0,273411.0,0
35,3,65434.520576530485,0,0,1121,32717.260288265243,6543.4520576530485,15000,55381.71234591829,65434.520576530485,10053.0,273411.0,283464.0,0
